Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
0,0,0,0,0,0
1,0.99998,0.00371,0.00442,0.00546,0.55782
2,1.99995,0.00837,0.00997,0.0124,0.623
3,2.99988,0.01529,0.01822,0.02379,0.79238
4,3.99982,0.02193,0.02614,0.03412,0.84999
5,4.99977,0.02829,0.03371,0.04334,0.87122
6,5.9997,0.03555,0.04237,0.05456,0.91128
7,6.99961,0.04381,0.05221,0.06753,0.96498
8,7.99952,0.05192,0.06188,0.08077,1.00842
9,8.99941,0.06128,0.07303,0.09534,1.0568
10,9.9993,0.0709,0.0845,0.10968,1.09876
11,10.9992,0.08151,0.09714,0.12575,1.14379
12,11.999,0.09155,0.10911,0.14243,1.18638
13,12.9989,0.10217,0.12176,0.15894,1.221
14,13.9987,0.11334,0.13508,0.17527,1.25388
15,14.9986,0.12529,0.14931,0.19385,1.29322
16,15.9984,0.13621,0.16233,0.2119,1.32428
17,16.9982,0.14739,0.17565,0.22929,1.34775
18,17.9981,0.1584,0.18877,0.24642,1.36712
19,18.9979,0.16937,0.20185,0.26262,1.38324
20,19.9978,0.17993,0.21443,0.27904,1.39537
21,20.9977,0.18986,0.22626,0.29537,1.40592
22,21.9976,0.2001,0.23847,0.3113,1.41369
23,22.9974,0.21014,0.25044,0.326,1.41852
24,23.9973,0.22053,0.26281,0.3422,1.42623
25,24.9972,0.23017,0.27431,0.35809,1.43208
26,25.997,0.2403,0.28638,0.37384,1.43696
27,26.9969,0.25032,0.29832,0.38863,1.44058
28,27.9968,0.26076,0.31076,0.40492,1.4467
29,28.9967,0.27074,0.32266,0.4212,1.4524
30,29.9965,0.28201,0.33608,0.43872,1.46183
31,30.9964,0.2933,0.34954,0.45629,1.47078
32,31.9962,0.30456,0.36296,0.47293,1.47862
33,32.9961,0.31563,0.37615,0.49023,1.48572
34,33.9959,0.32575,0.38822,0.50678,1.4902
35,34.9958,0.33676,0.40134,0.52391,1.49605
36,35.9956,0.34788,0.41459,0.54033,1.50172
37,36.9955,0.35935,0.42825,0.55825,1.5091
38,37.9953,0.37089,0.44201,0.57701,1.51829
39,38.9951,0.38301,0.45645,0.59585,1.52723
40,39.995,0.3954,0.47122,0.61426,1.53655
41,40.9948,0.40837,0.48668,0.63429,1.54752
42,41.9946,0.42057,0.50121,0.65429,1.55785
43,42.9943,0.43396,0.51717,0.67512,1.56964
44,43.9941,0.44732,0.5331,0.69591,1.5808
45,44.9939,0.46054,0.54885,0.71537,1.59029
46,45.9937,0.47393,0.56481,0.73625,1.6007
47,46.9935,0.48667,0.57999,0.75712,1.61067
48,47.9933,0.49992,0.59578,0.77774,1.61966
49,48.993,0.51351,0.61198,0.79777,1.62879
