Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
0,-0.0212,0,0,0,0
1,0.9788,-0.0063,-0.001,0.0064,0.648
2,1.9787,-0.0133,-0.0021,0.0134,0.6734
3,2.9787,-0.0202,-0.0032,0.0205,0.6817
4,3.9787,-0.0272,-0.0043,0.0275,0.6859
5,4.9787,-0.0338,-0.0054,0.0343,0.6882
6,5.9786,-0.0408,-0.0065,0.0413,0.6899
7,6.9786,-0.0478,-0.0076,0.0484,0.6911
8,7.9786,-0.0548,-0.0087,0.0554,0.692
9,8.9786,-0.0617,-0.0098,0.0625,0.6927
10,9.9785,-0.0684,-0.0108,0.0692,0.6932
11,10.9785,-0.0753,-0.0119,0.0763,0.6937
12,11.9785,-0.0823,-0.013,0.0833,0.694
13,12.9785,-0.0893,-0.0141,0.0904,0.6943
14,13.9784,-0.0959,-0.0152,0.0971,0.6946
15,14.9784,-0.1029,-0.0163,0.1042,0.6948
16,15.9784,-0.1099,-0.0174,0.1112,0.6951
17,16.9784,-0.1168,-0.0185,0.1183,0.6952
18,17.9783,-0.1235,-0.0196,0.125,0.6954
19,18.9783,-0.1304,-0.0207,0.1321,0.6955
20,19.9783,-0.1374,-0.0218,0.1391,0.6957
21,20.9783,-0.1444,-0.0229,0.1462,0.6958
22,21.9783,-0.1514,-0.024,0.1533,0.6959
23,22.9782,-0.158,-0.025,0.16,0.696
24,23.9782,-0.165,-0.0261,0.167,0.6961
25,24.9782,-0.1726,-0.0273,0.1747,0.6986
26,25.9781,-0.18,-0.0285,0.1823,0.7006
27,26.9781,-0.1885,-0.0298,0.1908,0.7073
28,27.978,-0.1959,-0.031,0.1984,0.7087
29,28.978,-0.203,-0.0322,0.2056,0.7088
30,29.978,-0.2101,-0.0333,0.2127,0.7087
31,30.978,-0.2171,-0.0344,0.2198,0.7085
32,31.978,-0.2239,-0.0355,0.2267,0.7089
33,32.9779,-0.2312,-0.0366,0.2341,0.7093
34,33.9779,-0.2389,-0.0378,0.2419,0.7113
35,34.9779,-0.2461,-0.039,0.2491,0.7113
36,35.9778,-0.2533,-0.0401,0.2564,0.7127
37,36.9778,-0.2614,-0.0414,0.2647,0.7155
38,37.9778,-0.2692,-0.0426,0.2726,0.7173
39,38.9777,-0.2777,-0.044,0.2812,0.7207
40,39.9777,-0.286,-0.0453,0.2896,0.7244
41,40.9777,-0.2954,-0.0468,0.2991,0.7297
42,41.9776,-0.3054,-0.0484,0.3092,0.7363
43,42.9776,-0.3162,-0.0501,0.3201,0.7442
44,43.9775,-0.327,-0.0518,0.3311,0.752
45,44.9774,-0.3364,-0.0533,0.3406,0.7572
46,45.9774,-0.3455,-0.0547,0.3498,0.7605
47,46.9773,-0.3558,-0.0564,0.3603,0.7664
48,47.9773,-0.3679,-0.0583,0.3725,0.7757
49,48.9772,-0.3806,-0.0603,0.3854,0.7868
50,49.9771,-0.3961,-0.0627,0.401,0.8022
51,50.9769,-0.4128,-0.0654,0.4179,0.8194
52,51.9767,-0.4312,-0.0683,0.4366,0.8393
53,52.9765,-0.4498,-0.0712,0.4554,0.8596
54,53.9763,-0.4709,-0.0746,0.4767,0.883
55,54.9761,-0.4937,-0.0782,0.4999,0.9088
56,55.9757,-0.5184,-0.0821,0.5249,0.9371
57,56.9754,-0.5453,-0.0864,0.5521,0.9682
