Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.8,0.0,0.0,0.0,1.4
2.0,1.8,0.0,0.0,0.0,1.6
3.0,2.8,0.0,0.0,0.0,1.6
4.0,3.8,0.0,0.1,0.1,1.7
5.0,4.8,0.0,0.1,0.1,1.7
6.0,5.8,0.0,0.1,0.1,1.7
7.0,6.8,0.0,0.1,0.1,1.7
8.0,7.8,0.0,0.1,0.1,1.7
9.0,8.8,0.0,0.2,0.2,1.7
10.0,9.8,0.0,0.2,0.2,1.7
11.0,10.8,0.0,0.2,0.2,1.7
12.0,11.8,0.0,0.2,0.2,1.6
13.0,12.8,0.0,0.2,0.2,1.6
14.0,13.8,0.0,0.2,0.2,1.6
15.0,14.8,0.0,0.2,0.2,1.6
16.0,15.8,-0.1,0.2,0.2,1.5
17.0,16.8,-0.1,0.3,0.3,1.5
18.0,17.8,-0.1,0.3,0.3,1.5
19.0,18.8,-0.1,0.3,0.3,1.5
20.0,19.8,-0.1,0.3,0.3,1.4
21.0,20.8,-0.1,0.3,0.3,1.4
22.0,21.8,-0.1,0.3,0.3,1.4
23.0,22.8,-0.1,0.3,0.3,1.4
24.0,23.8,-0.1,0.3,0.3,1.3
25.0,24.8,-0.1,0.3,0.3,1.3
26.0,25.8,-0.1,0.3,0.3,1.3
27.0,26.8,-0.1,0.3,0.3,1.3
28.0,27.8,-0.1,0.3,0.3,1.2
29.0,28.8,-0.1,0.3,0.4,1.2
30.0,29.8,-0.1,0.4,0.4,1.2
31.0,30.8,-0.1,0.4,0.4,1.2
32.0,31.8,-0.1,0.4,0.4,1.1
33.0,32.8,-0.1,0.4,0.4,1.1
34.0,33.8,-0.1,0.4,0.4,1.1
35.0,34.8,-0.1,0.4,0.4,1.1
36.0,35.8,-0.1,0.4,0.4,1.1
37.0,36.8,-0.1,0.4,0.4,1.1
38.0,37.8,-0.1,0.4,0.4,1.0
39.0,38.8,-0.1,0.4,0.4,1.0
40.0,39.8,-0.1,0.4,0.4,1.0
41.0,40.8,-0.1,0.4,0.4,1.0
42.0,41.8,-0.1,0.4,0.4,1.0
43.0,42.8,-0.1,0.4,0.4,1.0
44.0,43.8,-0.1,0.4,0.4,1.0
45.0,44.8,-0.1,0.4,0.4,1.0
46.0,45.8,-0.1,0.4,0.4,1.0
47.0,46.8,-0.1,0.4,0.5,1.0
48.0,47.8,-0.1,0.5,0.5,1.0
49.0,48.8,-0.1,0.5,0.5,1.0
50.0,49.8,-0.1,0.5,0.5,1.0
51.0,50.8,-0.1,0.5,0.5,1.0
52.0,51.8,-0.1,0.5,0.5,1.0
53.0,52.8,-0.1,0.5,0.5,1.0
54.0,53.8,-0.1,0.5,0.5,1.0
55.0,54.8,-0.1,0.5,0.6,1.0
56.0,55.8,-0.1,0.6,0.6,1.0
57.0,56.8,-0.1,0.6,0.6,1.0
58.0,57.8,-0.1,0.6,0.6,1.0
59.0,58.8,-0.1,0.6,0.6,1.1
60.0,59.8,-0.1,0.6,0.6,1.1
61.0,60.8,-0.1,0.6,0.7,1.1
62.0,61.8,-0.1,0.7,0.7,1.1
63.0,62.8,-0.1,0.7,0.7,1.1
64.0,63.8,-0.1,0.7,0.7,1.1
65.0,64.8,-0.2,0.7,0.7,1.1
66.0,65.8,-0.2,0.7,0.8,1.1
67.0,66.8,-0.2,0.8,0.8,1.2
68.0,67.8,-0.2,0.8,0.8,1.2
69.0,68.8,-0.2,0.8,0.8,1.2
70.0,69.8,-0.2,0.8,0.9,1.2
71.0,70.8,-0.2,0.9,0.9,1.2
72.0,71.8,-0.2,0.9,0.9,1.3
73.0,72.8,-0.2,0.9,0.9,1.3
74.0,73.8,-0.2,0.9,1.0,1.3
75.0,74.8,-0.2,1.0,1.0,1.3
76.0,75.8,-0.2,1.0,1.0,1.3
77.0,76.8,-0.2,1.0,1.0,1.4
78.0,77.8,-0.2,1.1,1.1,1.4
79.0,78.8,-0.3,1.1,1.1,1.4
80.0,79.8,-0.3,1.1,1.2,1.4
81.0,80.8,-0.3,1.2,1.2,1.5
82.0,81.8,-0.3,1.2,1.2,1.5
83.0,82.8,-0.3,1.2,1.3,1.5
84.0,83.8,-0.3,1.3,1.3,1.6
85.0,84.8,-0.3,1.3,1.4,1.6
86.0,85.8,-0.3,1.4,1.4,1.6
87.0,86.8,-0.3,1.4,1.5,1.7
88.0,87.8,-0.4,1.5,1.5,1.7
89.0,88.8,-0.4,1.5,1.5,1.7
90.0,89.8,-0.4,1.6,1.6,1.8
91.0,90.8,-0.4,1.6,1.6,1.8
92.0,91.8,-0.4,1.7,1.7,1.8
93.0,92.8,-0.4,1.7,1.8,1.9
94.0,93.8,-0.4,1.8,1.8,1.9
95.0,94.8,-0.4,1.8,1.9,2.0
96.0,95.8,-0.4,1.9,1.9,2.0
97.0,96.8,-0.5,1.9,2.0,2.0
98.0,97.8,-0.5,2.0,2.0,2.1
99.0,98.8,-0.5,2.0,2.1,2.1
100.0,99.8,-0.5,2.1,2.1,2.1
101.0,100.8,-0.5,2.1,2.2,2.1
102.0,101.8,-0.5,2.2,2.2,2.2
103.0,102.8,-0.5,2.2,2.3,2.2
104.0,103.8,-0.5,2.3,2.3,2.2
105.0,104.8,-0.5,2.3,2.4,2.3
106.0,105.8,-0.5,2.4,2.4,2.3
107.0,106.8,-0.5,2.4,2.5,2.3
