Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
0,-0.01632,0,0,0,0
1,0.98364,0.01028,0.00108,0.01034,1.05168
2,1.9836,0.0211,0.00222,0.02121,1.04937
3,2.98354,0.03192,0.00335,0.03209,1.06672
4,3.98345,0.04319,0.00454,0.04343,1.08685
5,4.98337,0.0564,0.00593,0.05671,1.13813
6,5.98326,0.07267,0.00764,0.07307,1.21352
7,6.9831,0.09039,0.0095,0.09089,1.2968
8,7.98288,0.10955,0.01151,0.11015,1.37767
9,8.98264,0.13155,0.01383,0.13227,1.47255
10,9.98237,0.15562,0.01636,0.15648,1.56142
11,10.982,0.1801,0.01893,0.18109,1.64501
12,11.9817,0.20476,0.02152,0.20588,1.71635
13,12.9814,0.23077,0.02425,0.23204,1.78732
14,13.981,0.25894,0.02722,0.26037,1.85693
15,14.9806,0.28545,0.03,0.28702,1.91239
16,15.9803,0.31227,0.03282,0.31399,1.963
17,16.9799,0.33936,0.03567,0.34123,2.00932
18,17.9795,0.36947,0.03883,0.37151,2.06149
19,18.979,0.39891,0.04193,0.4011,2.11016
20,19.9786,0.42794,0.04498,0.43029,2.15198
21,20.9781,0.45706,0.04804,0.45957,2.1903
22,21.9777,0.48694,0.05118,0.48962,2.22343
23,22.9773,0.51575,0.05421,0.51859,2.25393
24,23.9769,0.54536,0.05732,0.54837,2.28532
25,24.9764,0.57529,0.06047,0.57846,2.3155
26,25.9759,0.60671,0.06377,0.61005,2.34446
27,26.9754,0.63682,0.06693,0.64033,2.37089
28,27.9749,0.66743,0.07015,0.6711,2.39723
29,28.9744,0.69826,0.07339,0.70211,2.42256
30,29.9739,0.73139,0.07687,0.73542,2.44969
31,30.9734,0.7629,0.08018,0.7671,2.47389
32,31.9729,0.794,0.08345,0.79838,2.49532
33,32.9724,0.82587,0.0868,0.83042,2.51781
34,33.9718,0.8604,0.09043,0.86514,2.54297
35,34.9713,0.89353,0.09391,0.89845,2.56643
36,35.9707,0.92769,0.0975,0.9328,2.5915
37,36.97,0.96263,0.10118,0.96793,2.61731
38,37.9693,1.0004,0.10515,1.00591,2.64569
39,38.9687,1.03664,0.10896,1.04235,2.67216
40,39.968,1.07382,0.11286,1.07974,2.69971
41,40.9672,1.11155,0.11683,1.11767,2.72725
42,41.9665,1.15162,0.12104,1.15796,2.7557
43,42.9657,1.18952,0.12502,1.19607,2.78108
44,43.9649,1.22846,0.12912,1.23523,2.8077
45,44.9641,1.26808,0.13328,1.27507,2.83465
46,45.9632,1.31315,0.13802,1.32038,2.86913
47,46.9621,1.35826,0.14276,1.36575,2.90539
48,47.9609,1.4068,0.14786,1.41455,2.94732
49,48.9595,1.4584,0.15328,1.46643,2.99385
