Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
131.0,130.4,9.9,5.2,11.2,8.5
132.0,131.4,9.9,5.3,11.3,8.5
133.0,132.4,10.0,5.4,11.4,8.6
134.0,133.4,10.1,5.5,11.5,8.6
135.0,134.4,10.2,5.5,11.6,8.6
136.0,135.4,10.3,5.6,11.8,8.6
137.0,136.3,10.4,5.7,11.9,8.7
138.0,137.3,10.5,5.8,12.0,8.7
139.0,138.3,10.6,5.9,12.1,8.7
140.0,139.3,10.7,6.0,12.3,8.8
141.0,140.3,10.8,6.1,12.4,8.8
142.0,141.3,10.9,6.2,12.5,8.8
143.0,142.3,11.0,6.2,12.6,8.8
144.0,143.3,11.1,6.3,12.8,8.9
145.0,144.3,11.2,6.4,12.9,8.9
146.0,145.3,11.3,6.5,13.0,8.9
147.0,146.3,11.4,6.6,13.1,8.9
148.0,147.2,11.5,6.7,13.3,9.0
149.0,148.2,11.6,6.8,13.4,9.0
150.0,149.2,11.6,6.9,13.5,9.0
151.0,150.2,11.7,7.0,13.6,9.0
152.0,151.2,11.8,7.1,13.8,9.1
153.0,152.2,11.9,7.1,13.9,9.1
154.0,153.2,12.0,7.3,14.0,9.1
155.0,154.2,12.1,7.4,14.1,9.1
156.0,155.2,12.2,7.5,14.3,9.2
157.0,156.2,12.3,7.6,14.4,9.2
158.0,157.2,12.3,7.7,14.5,9.2
159.0,158.2,12.4,7.8,14.7,9.2
160.0,159.1,12.5,7.9,14.8,9.2
161.0,160.1,12.6,8.0,14.9,9.3
162.0,161.1,12.7,8.1,15.0,9.3
163.0,162.1,12.8,8.2,15.2,9.3
164.0,163.1,12.8,8.3,15.3,9.3
165.0,164.1,12.9,8.4,15.4,9.3
166.0,165.1,13.0,8.5,15.5,9.4
167.0,166.1,13.1,8.6,15.6,9.4
168.0,167.1,13.2,8.7,15.8,9.4
169.0,168.1,13.2,8.8,15.9,9.4
170.0,169.1,13.3,8.9,16.0,9.4
171.0,170.1,13.4,9.0,16.1,9.4
172.0,171.0,13.5,9.1,16.2,9.4
173.0,172.0,13.5,9.2,16.3,9.4
174.0,173.0,13.6,9.3,16.5,9.5
175.0,174.0,13.7,9.4,16.6,9.5
176.0,175.0,13.7,9.5,16.7,9.5
177.0,176.0,13.8,9.6,16.8,9.5
178.0,177.0,13.9,9.7,16.9,9.5
179.0,178.0,14.0,9.8,17.0,9.5
180.0,179.0,14.0,9.9,17.2,9.5
181.0,180.0,14.1,10.0,17.3,9.5
182.0,181.0,14.2,10.1,17.4,9.6
183.0,182.0,14.3,10.2,17.5,9.6
184.0,182.9,14.3,10.3,17.7,9.6
185.0,183.9,14.4,10.4,17.8,9.6
186.0,184.9,14.5,10.5,17.9,9.6
187.0,185.9,14.6,10.6,18.0,9.6
188.0,186.9,14.6,10.7,18.1,9.6
189.0,187.9,14.7,10.8,18.2,9.7
190.0,188.9,14.8,10.9,18.4,9.7
191.0,189.9,14.9,11.0,18.5,9.7
192.0,190.9,14.9,11.1,18.6,9.7
193.0,191.9,15.0,11.2,18.7,9.7
194.0,192.9,15.1,11.3,18.8,9.7
195.0,193.9,15.2,11.4,19.0,9.7
196.0,194.9,15.3,11.5,19.1,9.7
197.0,195.8,15.4,11.6,19.2,9.8
198.0,196.8,15.4,11.7,19.4,9.8
199.0,197.8,15.5,11.8,19.5,9.8
200.0,198.8,15.6,11.9,19.6,9.8
201.0,199.8,15.7,12.0,19.7,9.8
202.0,200.8,15.8,12.1,19.9,9.8
203.0,201.8,15.9,12.2,20.0,9.9
204.0,202.8,16.0,12.3,20.1,9.9
205.0,203.8,16.0,12.4,20.3,9.9
206.0,204.8,16.1,12.5,20.4,9.9
207.0,205.8,16.2,12.6,20.5,9.9
208.0,206.7,16.3,12.7,20.7,9.9
209.0,207.7,16.4,12.8,20.8,9.9
210.0,208.7,16.5,12.9,20.9,10.0
211.0,209.7,16.6,13.0,21.1,10.0
212.0,210.7,16.7,13.1,21.2,10.0
213.0,211.7,16.8,13.2,21.3,10.0
214.0,212.7,16.9,13.3,21.5,10.0
215.0,213.7,17.0,13.4,21.6,10.1
216.0,214.7,17.1,13.4,21.8,10.1
217.0,215.7,17.2,13.5,21.9,10.1
218.0,216.6,17.3,13.6,22.1,10.1
219.0,217.6,17.4,13.7,22.2,10.1
220.0,218.6,17.5,13.8,22.3,10.2
221.0,219.6,17.6,14.0,22.5,10.2
222.0,220.6,17.8,14.1,22.7,10.2
223.0,221.6,17.9,14.2,22.8,10.2
224.0,222.6,18.0,14.3,22.9,10.2
225.0,223.6,18.1,14.3,23.1,10.3
226.0,224.6,18.2,14.4,23.2,10.3
227.0,225.5,18.3,14.5,23.4,10.3
228.0,226.5,18.4,14.7,23.5,10.3
229.0,227.5,18.6,14.8,23.7,10.4
230.0,228.5,18.7,14.9,23.9,10.4
231.0,229.5,18.8,15.0,24.0,10.4
232.0,230.5,18.9,15.1,24.2,10.4
233.0,231.5,19.0,15.2,24.3,10.4
234.0,232.5,19.1,15.3,24.5,10.5
235.0,233.4,19.3,15.4,24.7,10.5
236.0,234.4,19.4,15.5,24.8,10.5
237.0,235.4,19.5,15.6,25.0,10.5
238.0,236.4,19.6,15.7,25.1,10.6
239.0,237.4,19.7,15.8,25.3,10.6
240.0,238.4,19.8,15.9,25.4,10.6
241.0,239.4,20.0,16.0,25.6,10.6
242.0,240.4,20.1,16.1,25.7,10.6
243.0,241.3,20.2,16.2,25.9,10.7
244.0,242.3,20.3,16.3,26.1,10.7
245.0,243.3,20.4,16.4,26.2,10.7
246.0,244.3,20.6,16.5,26.4,10.7
247.0,245.3,20.7,16.7,26.5,10.7
248.0,246.3,20.8,16.8,26.7,10.8
249.0,247.3,20.9,16.9,26.9,10.8
250.0,248.3,21.1,17.0,27.1,10.8
251.0,249.2,21.2,17.1,27.2,10.8
252.0,250.2,21.3,17.2,27.4,10.9
253.0,251.2,21.5,17.3,27.6,10.9
254.0,252.2,21.6,17.4,27.7,10.9
255.0,253.2,21.8,17.5,27.9,10.9
256.0,254.2,21.9,17.6,28.1,11.0
257.0,255.1,22.0,17.7,28.2,11.0
258.0,256.1,22.2,17.8,28.4,11.0
259.0,257.1,22.3,17.9,28.6,11.0
260.0,258.1,22.4,18.0,28.8,11.1
261.0,259.1,22.6,18.1,29.0,11.1
262.0,260.1,22.7,18.2,29.1,11.1
263.0,261.1,22.8,18.3,29.3,11.1
264.0,262.0,23.0,18.5,29.5,11.2
265.0,263.0,23.1,18.6,29.6,11.2
266.0,264.0,23.3,18.7,29.8,11.2
267.0,265.0,23.4,18.8,30.0,11.2
268.0,266.0,23.5,18.9,30.2,11.3
269.0,267.0,23.7,19.0,30.3,11.3
270.0,268.0,23.8,19.1,30.5,11.3
271.0,268.9,24.0,19.2,30.7,11.3
272.0,269.9,24.1,19.3,30.9,11.3
273.0,270.9,24.3,19.4,31.0,11.4
274.0,271.9,24.4,19.5,31.2,11.4
275.0,272.9,24.6,19.6,31.4,11.4
276.0,273.8,24.7,19.7,31.6,11.5
277.0,274.8,24.9,19.8,31.8,11.5
278.0,275.8,25.1,19.9,32.0,11.5
279.0,276.8,25.2,20.0,32.2,11.5
280.0,277.8,25.4,20.1,32.4,11.6
281.0,278.8,25.5,20.2,32.6,11.6
282.0,279.7,25.7,20.3,32.8,11.6
283.0,280.7,25.9,20.4,32.9,11.6
284.0,281.7,26.0,20.5,33.1,11.7
285.0,282.7,26.2,20.6,33.3,11.7
286.0,283.7,26.3,20.7,33.5,11.7
287.0,284.6,26.5,20.8,33.7,11.7
288.0,285.6,26.7,20.9,33.9,11.8
289.0,286.6,26.8,21.0,34.1,11.8
290.0,287.6,27.0,21.1,34.3,11.8
291.0,288.6,27.1,21.3,34.5,11.8
292.0,289.6,27.3,21.4,34.7,11.9
293.0,290.5,27.4,21.5,34.8,11.9
294.0,291.5,27.6,21.6,35.0,11.9
295.0,292.5,27.8,21.7,35.2,11.9
296.0,293.5,27.9,21.8,35.4,12.0
297.0,294.5,28.1,21.9,35.6,12.0
298.0,295.4,28.2,22.0,35.8,12.0
299.0,296.4,28.4,22.2,36.0,12.0
300.0,297.4,28.5,22.3,36.2,12.1
301.0,298.4,28.7,22.4,36.4,12.1
302.0,299.4,28.8,22.5,36.6,12.1
303.0,300.4,29.0,22.6,36.8,12.1
304.0,301.3,29.1,22.7,36.9,12.1
305.0,302.3,29.3,22.8,37.1,12.2
306.0,303.3,29.4,22.9,37.3,12.2
307.0,304.3,29.6,23.1,37.5,12.2
308.0,305.3,29.8,23.2,37.7,12.2
309.0,306.2,29.9,23.3,37.9,12.3
310.0,307.2,30.1,23.4,38.1,12.3
