Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.6
2.0,2.0,0.0,0.0,0.0,0.6
3.0,3.0,0.0,0.0,0.0,0.8
4.0,4.0,0.0,0.0,0.0,0.8
5.0,5.0,0.0,0.0,0.0,0.9
6.0,6.0,0.0,0.0,0.1,0.9
7.0,7.0,0.0,0.1,0.1,1.0
8.0,8.0,0.1,0.1,0.1,1.0
9.0,9.0,0.1,0.1,0.1,1.1
10.0,10.0,0.1,0.1,0.1,1.1
11.0,11.0,0.1,0.1,0.1,1.1
12.0,12.0,0.1,0.1,0.1,1.2
13.0,13.0,0.1,0.1,0.2,1.2
14.0,14.0,0.1,0.1,0.2,1.3
15.0,15.0,0.1,0.1,0.2,1.3
16.0,16.0,0.1,0.2,0.2,1.3
17.0,17.0,0.1,0.2,0.2,1.3
18.0,18.0,0.2,0.2,0.2,1.4
19.0,19.0,0.2,0.2,0.3,1.4
20.0,20.0,0.2,0.2,0.3,1.4
21.0,21.0,0.2,0.2,0.3,1.4
22.0,22.0,0.2,0.2,0.3,1.4
23.0,23.0,0.2,0.3,0.3,1.4
24.0,24.0,0.2,0.3,0.3,1.4
25.0,25.0,0.2,0.3,0.4,1.4
26.0,26.0,0.2,0.3,0.4,1.4
27.0,27.0,0.3,0.3,0.4,1.4
28.0,28.0,0.3,0.3,0.4,1.4
29.0,29.0,0.3,0.3,0.4,1.5
30.0,30.0,0.3,0.3,0.4,1.5
31.0,31.0,0.3,0.3,0.5,1.5
32.0,32.0,0.3,0.4,0.5,1.5
33.0,33.0,0.3,0.4,0.5,1.5
34.0,34.0,0.3,0.4,0.5,1.5
35.0,35.0,0.3,0.4,0.5,1.5
36.0,36.0,0.3,0.4,0.5,1.5
37.0,37.0,0.4,0.4,0.6,1.5
38.0,38.0,0.4,0.4,0.6,1.5
39.0,39.0,0.4,0.5,0.6,1.5
40.0,40.0,0.4,0.5,0.6,1.5
41.0,41.0,0.4,0.5,0.6,1.5
42.0,42.0,0.4,0.5,0.7,1.6
43.0,43.0,0.4,0.5,0.7,1.6
44.0,44.0,0.4,0.5,0.7,1.6
45.0,45.0,0.5,0.5,0.7,1.6
46.0,46.0,0.5,0.6,0.7,1.6
47.0,47.0,0.5,0.6,0.8,1.6
48.0,48.0,0.5,0.6,0.8,1.6
49.0,49.0,0.5,0.6,0.8,1.6
50.0,50.0,0.5,0.6,0.8,1.6
51.0,51.0,0.5,0.6,0.8,1.6
52.0,52.0,0.6,0.7,0.9,1.7
53.0,53.0,0.6,0.7,0.9,1.7
54.0,54.0,0.6,0.7,0.9,1.7
55.0,55.0,0.6,0.7,0.9,1.7
56.0,56.0,0.6,0.7,1.0,1.7
57.0,57.0,0.6,0.7,1.0,1.7
58.0,58.0,0.6,0.8,1.0,1.7
59.0,59.0,0.7,0.8,1.0,1.7
60.0,60.0,0.7,0.8,1.1,1.7
61.0,61.0,0.7,0.8,1.1,1.8
62.0,62.0,0.7,0.8,1.1,1.8
63.0,63.0,0.7,0.9,1.1,1.8
64.0,64.0,0.7,0.9,1.1,1.8
65.0,65.0,0.7,0.9,1.2,1.8
66.0,66.0,0.8,0.9,1.2,1.8
67.0,67.0,0.8,0.9,1.2,1.8
68.0,68.0,0.8,0.9,1.2,1.8
69.0,69.0,0.8,1.0,1.2,1.8
70.0,70.0,0.8,1.0,1.3,1.8
71.0,71.0,0.8,1.0,1.3,1.8
72.0,72.0,0.9,1.0,1.3,1.8
73.0,73.0,0.9,1.0,1.4,1.9
74.0,74.0,0.9,1.1,1.4,1.9
75.0,75.0,0.9,1.1,1.4,1.9
76.0,76.0,0.9,1.1,1.5,1.9
77.0,77.0,1.0,1.1,1.5,1.9
78.0,78.0,1.0,1.2,1.5,2.0
79.0,79.0,1.0,1.2,1.6,2.0
80.0,80.0,1.0,1.2,1.6,2.0
81.0,81.0,1.1,1.2,1.6,2.0
82.0,82.0,1.1,1.3,1.7,2.0
83.0,83.0,1.1,1.3,1.7,2.1
84.0,84.0,1.1,1.3,1.8,2.1
85.0,85.0,1.2,1.4,1.8,2.1
86.0,86.0,1.2,1.4,1.9,2.2
87.0,87.0,1.2,1.4,1.9,2.2
88.0,88.0,1.3,1.5,1.9,2.2
89.0,89.0,1.3,1.5,2.0,2.2
90.0,90.0,1.3,1.5,2.0,2.3
91.0,91.0,1.3,1.6,2.1,2.3
92.0,92.0,1.4,1.6,2.1,2.3
