Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.6
2.0,2.0,0.0,0.0,0.0,0.7
3.0,3.0,0.0,0.0,0.0,0.7
4.0,4.0,0.0,0.0,0.0,0.7
5.0,5.0,0.0,0.0,0.0,0.7
6.0,6.0,0.0,0.0,0.0,0.7
7.0,7.0,0.0,0.0,0.0,0.7
8.0,8.0,-0.1,0.0,0.1,0.7
9.0,9.0,-0.1,0.0,0.1,0.7
10.0,10.0,-0.1,0.0,0.1,0.7
11.0,11.0,-0.1,0.0,0.1,0.7
12.0,12.0,-0.1,0.0,0.1,0.7
13.0,13.0,-0.1,0.0,0.1,0.7
14.0,14.0,-0.1,0.0,0.1,0.7
15.0,15.0,-0.1,0.0,0.1,0.7
16.0,16.0,-0.1,0.0,0.1,0.7
17.0,17.0,-0.1,0.0,0.1,0.7
18.0,18.0,-0.1,0.0,0.1,0.7
19.0,19.0,-0.1,0.0,0.1,0.7
20.0,20.0,-0.1,0.0,0.1,0.7
21.0,21.0,-0.1,0.0,0.1,0.7
22.0,22.0,-0.2,0.0,0.2,0.7
23.0,23.0,-0.2,0.0,0.2,0.7
24.0,24.0,-0.2,0.0,0.2,0.7
25.0,25.0,-0.2,0.0,0.2,0.7
26.0,26.0,-0.2,0.0,0.2,0.7
27.0,27.0,-0.2,0.0,0.2,0.7
28.0,28.0,-0.2,0.0,0.2,0.7
29.0,29.0,-0.2,0.0,0.2,0.7
30.0,30.0,-0.2,0.0,0.2,0.7
31.0,31.0,-0.2,0.0,0.2,0.7
32.0,32.0,-0.2,0.0,0.2,0.7
33.0,33.0,-0.2,0.0,0.2,0.7
34.0,34.0,-0.2,0.0,0.2,0.7
35.0,35.0,-0.2,0.0,0.2,0.7
36.0,36.0,-0.3,0.0,0.3,0.7
37.0,37.0,-0.3,0.0,0.3,0.7
38.0,38.0,-0.3,0.0,0.3,0.7
39.0,39.0,-0.3,0.0,0.3,0.7
40.0,40.0,-0.3,0.0,0.3,0.7
41.0,41.0,-0.3,0.0,0.3,0.7
42.0,42.0,-0.3,0.0,0.3,0.7
43.0,43.0,-0.3,-0.1,0.3,0.7
44.0,44.0,-0.3,-0.1,0.3,0.8
45.0,45.0,-0.3,-0.1,0.3,0.8
46.0,46.0,-0.3,-0.1,0.3,0.8
47.0,47.0,-0.4,-0.1,0.4,0.8
48.0,48.0,-0.4,-0.1,0.4,0.8
49.0,49.0,-0.4,-0.1,0.4,0.8
50.0,50.0,-0.4,-0.1,0.4,0.8
51.0,51.0,-0.4,-0.1,0.4,0.8
52.0,52.0,-0.4,-0.1,0.4,0.8
53.0,53.0,-0.4,-0.1,0.5,0.9
54.0,54.0,-0.5,-0.1,0.5,0.9
55.0,55.0,-0.5,-0.1,0.5,0.9
56.0,56.0,-0.5,-0.1,0.5,0.9
57.0,57.0,-0.5,-0.1,0.6,1.0
58.0,58.0,-0.6,-0.1,0.6,1.0
59.0,59.0,-0.6,-0.1,0.6,1.0
60.0,60.0,-0.6,-0.1,0.6,1.1
61.0,61.0,-0.7,-0.1,0.7,1.1
62.0,62.0,-0.7,-0.1,0.7,1.1
63.0,63.0,-0.7,-0.1,0.8,1.2
64.0,64.0,-0.8,-0.1,0.8,1.2
65.0,65.0,-0.8,-0.1,0.8,1.3
66.0,66.0,-0.9,-0.1,0.9,1.3
67.0,67.0,-0.9,-0.1,0.9,1.4
68.0,68.0,-0.9,-0.1,0.9,1.4
69.0,69.0,-1.0,-0.2,1.0,1.4
70.0,70.0,-1.0,-0.2,1.0,1.5
71.0,71.0,-1.1,-0.2,1.1,1.5
72.0,72.0,-1.1,-0.2,1.1,1.5
73.0,73.0,-1.1,-0.2,1.1,1.6
74.0,74.0,-1.2,-0.2,1.2,1.6
75.0,75.0,-1.2,-0.2,1.2,1.6
76.0,76.0,-1.2,-0.2,1.3,1.6
77.0,77.0,-1.3,-0.2,1.3,1.7
78.0,78.0,-1.3,-0.2,1.3,1.7
79.0,79.0,-1.4,-0.2,1.4,1.7
80.0,80.0,-1.4,-0.2,1.4,1.8
81.0,81.0,-1.4,-0.2,1.4,1.8
82.0,82.0,-1.5,-0.2,1.5,1.8
83.0,83.0,-1.5,-0.2,1.5,1.8
84.0,84.0,-1.6,-0.2,1.6,1.9
85.0,85.0,-1.6,-0.2,1.6,1.9
86.0,86.0,-1.6,-0.2,1.6,1.9
87.0,87.0,-1.7,-0.2,1.7,1.9
