Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
0,-0.0068,0,0,0,0
1,0.9931,0.0187,0.0064,0.0198,2.0117
2,1.9927,0.0436,0.015,0.0461,2.2793
3,2.9922,0.0718,0.0247,0.076,2.5249
4,3.9919,0.0971,0.0334,0.1027,2.5705
5,4.9915,0.1203,0.0414,0.1273,2.5544
6,5.9911,0.1463,0.0504,0.1547,2.569
7,6.9908,0.1684,0.058,0.1781,2.5409
8,7.9906,0.1874,0.0645,0.1982,2.4784
9,8.9903,0.2066,0.0711,0.2185,2.4327
10,9.9901,0.2277,0.0784,0.2409,2.4035
11,10.9899,0.2462,0.0848,0.2604,2.365
12,11.9898,0.2605,0.0897,0.2755,2.2967
13,12.9897,0.2669,0.0919,0.2822,2.1741
14,13.9897,0.2733,0.0941,0.2891,2.0618
15,14.9897,0.2794,0.0962,0.2955,1.9691
16,15.9897,0.2873,0.0989,0.3038,1.8995
17,16.9896,0.2952,0.1016,0.3122,1.8385
18,17.9895,0.3089,0.1064,0.3267,1.8127
19,18.9894,0.3232,0.1113,0.3419,1.7985
20,19.9892,0.3386,0.1166,0.3581,1.7911
21,20.989,0.3566,0.1228,0.3772,1.7976
22,21.9888,0.3781,0.1302,0.3998,1.8157
23,22.9885,0.4007,0.138,0.4238,1.842
24,23.9882,0.425,0.1463,0.4495,1.8734
25,24.9877,0.453,0.156,0.4791,1.9178
26,25.9872,0.4833,0.1664,0.5112,1.9644
27,26.9867,0.5136,0.1769,0.5432,2.0114
28,27.9861,0.5451,0.1877,0.5766,2.0595
29,28.9855,0.5784,0.1992,0.6118,2.1109
30,29.9848,0.615,0.2118,0.6504,2.1666
31,30.984,0.6514,0.2243,0.6889,2.2217
32,31.9833,0.6881,0.2369,0.7277,2.2746
33,32.9825,0.7261,0.25,0.7679,2.3283
34,33.9815,0.7687,0.2647,0.813,2.3897
35,34.9804,0.8113,0.2794,0.8581,2.4511
36,35.9793,0.8554,0.2945,0.9047,2.5135
37,36.9781,0.9012,0.3103,0.9531,2.5772
38,37.9768,0.9521,0.3278,1.0069,2.6484
