Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,1.1
2.0,2.0,0.0,0.0,0.0,1.0
3.0,3.0,0.0,0.0,0.0,1.1
4.0,4.0,0.0,0.0,0.0,1.1
5.0,5.0,0.1,0.0,0.1,1.1
6.0,6.0,0.1,0.0,0.1,1.2
7.0,7.0,0.1,0.0,0.1,1.3
8.0,8.0,0.1,0.0,0.1,1.4
9.0,9.0,0.1,0.0,0.1,1.5
10.0,10.0,0.2,0.0,0.2,1.6
11.0,11.0,0.2,0.0,0.2,1.6
12.0,12.0,0.2,0.0,0.2,1.7
13.0,13.0,0.2,0.0,0.2,1.8
14.0,14.0,0.3,0.0,0.3,1.9
15.0,15.0,0.3,0.0,0.3,1.9
16.0,16.0,0.3,0.0,0.3,2.0
17.0,17.0,0.3,0.0,0.3,2.0
18.0,18.0,0.4,0.0,0.4,2.1
19.0,19.0,0.4,0.0,0.4,2.1
20.0,20.0,0.4,0.0,0.4,2.2
21.0,21.0,0.5,0.0,0.5,2.2
22.0,22.0,0.5,0.1,0.5,2.2
23.0,23.0,0.5,0.1,0.5,2.3
24.0,24.0,0.5,0.1,0.5,2.3
25.0,25.0,0.6,0.1,0.6,2.3
26.0,26.0,0.6,0.1,0.6,2.3
27.0,27.0,0.6,0.1,0.6,2.4
28.0,28.0,0.7,0.1,0.7,2.4
29.0,29.0,0.7,0.1,0.7,2.4
30.0,30.0,0.7,0.1,0.7,2.4
31.0,31.0,0.8,0.1,0.8,2.5
32.0,32.0,0.8,0.1,0.8,2.5
33.0,33.0,0.8,0.1,0.8,2.5
34.0,34.0,0.9,0.1,0.9,2.5
35.0,35.0,0.9,0.1,0.9,2.6
36.0,36.0,0.9,0.1,0.9,2.6
37.0,37.0,1.0,0.1,1.0,2.6
38.0,38.0,1.0,0.1,1.0,2.6
39.0,39.0,1.0,0.1,1.0,2.7
40.0,40.0,1.1,0.1,1.1,2.7
41.0,41.0,1.1,0.1,1.1,2.7
42.0,42.0,1.2,0.1,1.2,2.8
43.0,43.0,1.2,0.1,1.2,2.8
44.0,44.0,1.2,0.1,1.2,2.8
45.0,45.0,1.3,0.1,1.3,2.8
46.0,46.0,1.3,0.1,1.3,2.9
47.0,47.0,1.4,0.1,1.4,2.9
48.0,48.0,1.4,0.1,1.4,2.9
49.0,49.0,1.5,0.2,1.5,3.0
50.0,50.0,1.5,0.2,1.5,3.0
51.0,51.0,1.6,0.2,1.6,3.1
52.0,52.0,1.6,0.2,1.6,3.2
53.0,53.0,1.7,0.2,1.7,3.2
54.0,53.9,1.8,0.2,1.8,3.3
55.0,54.9,1.9,0.2,1.9,3.4
56.0,55.9,1.9,0.2,1.9,3.5
57.0,56.9,2.0,0.2,2.0,3.5
58.0,57.9,2.1,0.2,2.1,3.6
59.0,58.9,2.2,0.2,2.2,3.7
60.0,59.9,2.3,0.2,2.3,3.8
61.0,60.9,2.3,0.2,2.4,3.9
62.0,61.9,2.4,0.3,2.4,3.9
63.0,62.9,2.5,0.3,2.5,4.0
64.0,63.9,2.6,0.3,2.6,4.1
65.0,64.9,2.7,0.3,2.7,4.1
66.0,65.9,2.8,0.3,2.8,4.2
67.0,66.9,2.8,0.3,2.9,4.3
68.0,67.9,2.9,0.3,2.9,4.3
69.0,68.9,3.0,0.3,3.0,4.4
70.0,69.9,3.1,0.3,3.1,4.4
71.0,70.9,3.1,0.3,3.2,4.5
72.0,71.9,3.2,0.3,3.3,4.5
73.0,72.9,3.3,0.3,3.3,4.6
74.0,73.9,3.4,0.4,3.4,4.6
75.0,74.9,3.5,0.4,3.5,4.7
76.0,75.9,3.6,0.4,3.6,4.7
77.0,76.9,3.6,0.4,3.7,4.8
78.0,77.9,3.7,0.4,3.7,4.8
79.0,78.9,3.8,0.4,3.8,4.8
80.0,79.9,3.9,0.4,3.9,4.9
81.0,80.9,4.0,0.4,4.0,4.9
82.0,81.9,4.1,0.4,4.1,5.0
83.0,82.9,4.1,0.4,4.2,5.0
84.0,83.8,4.2,0.4,4.3,5.1
85.0,84.8,4.3,0.5,4.3,5.1
86.0,85.8,4.4,0.5,4.4,5.1
87.0,86.8,4.5,0.5,4.5,5.2
88.0,87.8,4.5,0.5,4.6,5.2
89.0,88.8,4.6,0.5,4.6,5.2
90.0,89.8,4.7,0.5,4.7,5.3
91.0,90.8,4.8,0.5,4.8,5.3
92.0,91.8,4.9,0.5,4.9,5.4
93.0,92.8,5.0,0.5,5.0,5.4
94.0,93.8,5.1,0.5,5.1,5.4
95.0,94.8,5.2,0.5,5.2,5.5
96.0,95.8,5.3,0.6,5.3,5.5
97.0,96.8,5.3,0.6,5.4,5.5
98.0,97.8,5.4,0.6,5.5,5.6
99.0,98.8,5.5,0.6,5.5,5.6
100.0,99.8,5.6,0.6,5.6,5.6
101.0,100.8,5.6,0.6,5.7,5.6
102.0,101.8,5.7,0.6,5.7,5.6
103.0,102.8,5.8,0.6,5.8,5.6
104.0,103.8,5.8,0.6,5.9,5.6
105.0,104.8,5.9,0.7,5.9,5.7
106.0,105.8,6.0,0.7,6.0,5.7
107.0,106.8,6.0,0.7,6.1,5.7
108.0,107.8,6.1,0.7,6.2,5.7
109.0,108.8,6.2,0.7,6.2,5.7
110.0,109.8,6.3,0.7,6.3,5.7
111.0,110.8,6.3,0.8,6.4,5.8
112.0,111.8,6.4,0.8,6.5,5.8
113.0,112.8,6.5,0.8,6.5,5.8
114.0,113.8,6.6,0.8,6.6,5.8
115.0,114.7,6.7,0.9,6.7,5.8
116.0,115.7,6.7,0.9,6.8,5.9
117.0,116.7,6.8,0.9,6.9,5.9
118.0,117.7,6.9,0.9,7.0,5.9
119.0,118.7,7.0,1.0,7.0,5.9
120.0,119.7,7.0,1.0,7.1,5.9
121.0,120.7,7.1,1.0,7.2,5.9
122.0,121.7,7.2,1.1,7.2,5.9
123.0,122.7,7.2,1.1,7.3,5.9
124.0,123.7,7.3,1.1,7.4,6.0
125.0,124.7,7.4,1.2,7.5,6.0
126.0,125.7,7.5,1.2,7.6,6.0
127.0,126.7,7.5,1.2,7.6,6.0
128.0,127.7,7.6,1.3,7.7,6.0
129.0,128.7,7.7,1.3,7.8,6.0
130.0,129.7,7.8,1.3,7.9,6.1
131.0,130.7,7.8,1.4,8.0,6.1
132.0,131.7,7.9,1.4,8.0,6.1
133.0,132.7,8.0,1.5,8.1,6.1
134.0,133.7,8.1,1.5,8.2,6.1
135.0,134.7,8.1,1.6,8.3,6.1
136.0,135.7,8.2,1.6,8.4,6.1
137.0,136.7,8.3,1.7,8.4,6.2
138.0,137.7,8.3,1.7,8.5,6.2
139.0,138.7,8.4,1.8,8.6,6.2
140.0,139.7,8.5,1.8,8.7,6.2
141.0,140.7,8.5,1.9,8.8,6.2
142.0,141.7,8.6,2.0,8.8,6.2
143.0,142.6,8.7,2.0,8.9,6.2
144.0,143.6,8.8,2.1,9.0,6.3
145.0,144.6,8.9,2.1,9.1,6.3
146.0,145.6,8.9,2.2,9.2,6.3
147.0,146.6,9.0,2.3,9.3,6.3
148.0,147.6,9.1,2.3,9.4,6.3
149.0,148.6,9.2,2.4,9.5,6.4
150.0,149.6,9.2,2.5,9.6,6.4
151.0,150.6,9.3,2.5,9.7,6.4
152.0,151.6,9.4,2.6,9.7,6.4
153.0,152.6,9.5,2.7,9.8,6.4
154.0,153.6,9.5,2.8,9.9,6.4
155.0,154.6,9.6,2.8,10.0,6.4
156.0,155.6,9.6,2.9,10.1,6.5
157.0,156.6,9.7,3.0,10.2,6.5
158.0,157.6,9.8,3.1,10.2,6.5
159.0,158.6,9.8,3.1,10.3,6.5
160.0,159.6,9.9,3.2,10.4,6.5
161.0,160.6,10.0,3.3,10.5,6.5
162.0,161.5,10.0,3.4,10.6,6.5
163.0,162.5,10.1,3.5,10.7,6.5
164.0,163.5,10.1,3.6,10.7,6.6
165.0,164.5,10.2,3.6,10.8,6.6
166.0,165.5,10.3,3.7,10.9,6.6
167.0,166.5,10.3,3.8,11.0,6.6
168.0,167.5,10.4,3.9,11.1,6.6
169.0,168.5,10.4,4.0,11.2,6.6
170.0,169.5,10.5,4.1,11.2,6.6
171.0,170.5,10.5,4.2,11.3,6.6
172.0,171.5,10.6,4.2,11.4,6.6
173.0,172.5,10.7,4.3,11.5,6.6
174.0,173.5,10.7,4.4,11.6,6.7
175.0,174.5,10.8,4.5,11.7,6.7
176.0,175.5,10.8,4.6,11.8,6.7
177.0,176.5,10.9,4.7,11.9,6.7
178.0,177.5,11.0,4.8,12.0,6.7
179.0,178.5,11.0,4.9,12.1,6.7
180.0,179.4,11.1,5.0,12.2,6.8
181.0,180.4,11.2,5.0,12.2,6.8
182.0,181.4,11.2,5.1,12.3,6.8
183.0,182.4,11.3,5.2,12.4,6.8
184.0,183.4,11.3,5.3,12.5,6.8
185.0,184.4,11.4,5.4,12.6,6.8
186.0,185.4,11.4,5.5,12.7,6.8
187.0,186.4,11.5,5.6,12.8,6.8
188.0,187.4,11.6,5.7,12.9,6.9
189.0,188.4,11.6,5.8,13.0,6.9
190.0,189.4,11.7,5.9,13.1,6.9
191.0,190.4,11.7,6.1,13.2,6.9
192.0,191.4,11.8,6.2,13.3,6.9
193.0,192.4,11.9,6.2,13.4,6.9
194.0,193.4,11.9,6.3,13.5,7.0
195.0,194.3,12.0,6.4,13.6,7.0
196.0,195.3,12.0,6.5,13.7,7.0
197.0,196.3,12.1,6.6,13.8,7.0
198.0,197.3,12.2,6.7,13.9,7.0
199.0,198.3,12.2,6.8,14.0,7.0
200.0,199.3,12.3,6.9,14.1,7.1
201.0,200.3,12.4,7.0,14.2,7.1
202.0,201.3,12.4,7.1,14.3,7.1
203.0,202.3,12.5,7.2,14.4,7.1
204.0,203.3,12.6,7.3,14.6,7.1
205.0,204.3,12.6,7.4,14.7,7.2
206.0,205.3,12.7,7.5,14.8,7.2
